info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
"
                    3br -
                    1204ft, -
                ",,♥ MOVE BY 2/15 & GET 4 WEEKS RENT FREE! CALL THE LODGES NOW ♥,https://corvallis.craigslist.org/apa/5995349356.html,$1450,5995349356,,,,,Feb 11,
"
                    3br -
                    1204ft, -
                ",,THIS COULD BE YOUR ONE TRUE LOVE!,https://corvallis.craigslist.org/apa/5958301656.html,$1395,5958301656,,,,,Feb 11,
"
                    3br -
                    1204ft, -
                ",,HOP ON OVER TO YOUR NEW PAD!,https://corvallis.craigslist.org/apa/5961811829.html,$1450,5961811829,,,,,Feb 11,
"
                    2br -
                    1029ft, -
                ",,TIME TO RELAX AND MOVE TO PLUMTREE,https://corvallis.craigslist.org/apa/5994957950.html,$1195,5994957950,,,,,Feb 10,
"
                    3br -
                    1204ft, -
                ",,5 min & 2.5 miles from LBCC CALL PLUMTREE TODAY TO SCHEDULE A TOUR,https://corvallis.craigslist.org/apa/5988223757.html,$1375,5988223757,,,,,Feb 10,
"
                    1br -
                    661ft, -
                ",,In Town or Across The World - Reserve now for 2017! - Next Door To OSU,https://corvallis.craigslist.org/apa/5958198219.html,$1200,5958198219,,,,,Feb 10,
"
                    2br -
                    932ft, -
                ",,RESERVE NOW FOR FALL 2017 - Secure Access,https://corvallis.craigslist.org/apa/5958192676.html,$1650,5958192676,,,,,Feb 10,
"
                    1br -
                    584ft, -
                ",,Rent Today! Next Door To OSU-In Town or Across The World,https://corvallis.craigslist.org/apa/5958203996.html,$1100,5958203996,,,,,Feb 10,
"
                    1br -
                    728ft, -
                ",,THE BEST VALENTINE'S GIFT IS FREE RENT! CALL THE LODGES TODAY!,https://corvallis.craigslist.org/apa/5997722777.html,$1000,5997722777,,,,,Feb 10,
"
                    2br -
                    1029ft, -
                ",,SWEETHEART SPECIAL: GET 4 WEEKS FREE RENT!! CALL THE LODGES NOW!,https://corvallis.craigslist.org/apa/5997723266.html,$1120,5997723266,,,,,Feb 10,
"
                    3br -
                    1204ft, -
                ",,YOU DON'T WANNA MISS THE SWEETHEART SPECIAL AT THE LODGES LUXURY APTS!,https://corvallis.craigslist.org/apa/5997051533.html,$1450,5997051533,,,,,Feb  9,
"
                    3br -
                    1204ft, -
                ",,PLANT YOUR ROOTS HERE AT PLUMTREE,https://corvallis.craigslist.org/apa/5993609190.html,$1375,5993609190,,,,,Feb  9,
"
                    2br -
                    952ft, -
                ",,Your On Your Way Home Sweet Home Luxury at It's Finest Only @ PlumTree,https://corvallis.craigslist.org/apa/5996827948.html,$1120,5996827948,,,,,Feb  9,
"
                    1br -
                    728ft, -
                ",,The one bedroom of your DREAMS!,https://corvallis.craigslist.org/apa/5988413249.html,$1020,5988413249,,,,,Feb  9,
"
                    1br -
                ",,Fully furnished bedroom at 7th street.,https://corvallis.craigslist.org/apa/5974150139.html,$809,5974150139,,,,,Feb  9,
"
                    2br -
                    952ft, -
                ",,GRAB YOUR SWEETHEART AND MOVE TO PLUMTREE!,https://corvallis.craigslist.org/apa/5993601892.html,$1120,5993601892,,,,,Feb  9,
"
                    2br -
                ",,Looking for someone to take over our lease,https://corvallis.craigslist.org/apa/5996504698.html,$1155,5996504698,,,,,Feb  9,
"
                    2br -
                    800ft, -
                ",,Duplex Apartment,https://corvallis.craigslist.org/apa/5995811325.html,$1195,5995811325,,,,,Feb  8,
"
                    1br -
                ",,Room for rent CLOSE TO CAMPUS,https://corvallis.craigslist.org/apa/5995694282.html,$590,5995694282,,,,,Feb  8,
"
                    360ft, -
                ",,WE HAVE EVERYTHING BUT YOU!,https://corvallis.craigslist.org/apa/5985464523.html,$560,5985464523,,,,,Feb  8,
"
                    360ft, -
                ",,COME FALL IN LOVE WITH THIS BEAUTIFUL STUDIO,https://corvallis.craigslist.org/apa/5985556690.html,$560,5985556690,,,,,Feb  8,
"
                    2br -
                    1183ft, -
                ",,2 bedroom plus loft ~ 1 bathroom house,https://corvallis.craigslist.org/apa/5978377929.html,$1500,5978377929,,,,,Feb  8,
"
                    2br -
                    810ft, -
                ",,2 Bedroom Duplex Located In Philomath ~ 2536 Newton,https://corvallis.craigslist.org/apa/5991931846.html,$995,5991931846,,,,,Feb  8,
"
                    2br -
                    750ft, -
                ",,2 Bedroom Apartment Close to 9th Street ~ 1649 NW Division #1,https://corvallis.craigslist.org/apa/5992064033.html,$825,5992064033,,,,,Feb  8,
"
                    3br -
                ",,3 Bed 1.5 Bath Apartment,https://corvallis.craigslist.org/apa/5952855797.html,$1200,5952855797,,,,,Feb  8,
"
                    3br -
                    1200ft, -
                ",,3 Bed 1.5 Bath Apartment,https://corvallis.craigslist.org/apa/5952750803.html,$1200,5952750803,,,,,Feb  8,
"
                    2br -
                    840ft, -
                ",,Now Renting!  Beautiful 2 Bedroom/1 Bath w/Washer and Dryer Hookups!,https://corvallis.craigslist.org/apa/5954762452.html,$895,5954762452,,,,,Feb  8,
,,Own your own Home for less than $900/month!,https://corvallis.craigslist.org/apa/5994868117.html,$900,5994868117,,,,,Feb  8,
"
                    2br -
                ",,Great two bedroom apartment 2 blocks from campus!,https://corvallis.craigslist.org/apa/5994866413.html,$995,5994866413,,,,,Feb  8,
"
                    2br -
                    1744ft, -
                ",,Beautiful furnished house + Shop + Yurt on 1/4 acre,https://corvallis.craigslist.org/apa/5994347670.html,$2200,5994347670,,,,,Feb  7,
"
                    2br -
                    1000ft, -
                ",,For Rent   $1600,https://corvallis.craigslist.org/apa/5994156819.html,$1600,5994156819,,,,,Feb  7,
"
                    2br -
                    850ft, -
                ",,Like new 2 bedroom/2 bathroom units in Monmouth!! 20 minute drive,https://corvallis.craigslist.org/apa/5968472799.html,$1000,5968472799,,,,,Feb  7,
"
                    2br -
                    1200ft, -
                ",,2 Bedroom 1.5 Bath Townhouse with Detached Garage,https://corvallis.craigslist.org/apa/5994130400.html,$1050,5994130400,,,,,Feb  7,
